idx,key,value,type
,,,situational inference
,,,situational inference
,,,situational inference
,,,event association
,,,event association
,,,event association
,,,event association
,,,event association
44,verb1,has,
,verb2,did,
,subj,The model,
,vp1,has been dreaming of buying a private jet,
,vp2,went to the post office,
,prn,she,
,name1,Natalie,
,name2,Carly,
,vp1_cont,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,event association
,,,event association
,,,event association
,,,event association
,,,event association
,vp2_cont,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,event association
,,,event association
,,,event association
,,,event association
,,,event association
45,verb1,,
,verb2,,
,subj,,
,vp1,,
,vp2,,
,prn,,
,name1,,
,name2,,
,vp1_cont,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,event association
,,,event association
,,,event association
,,,event association
,,,event association
,vp2_cont,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,lexical overlap
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,situational inference
,,,event association
,,,event association
,,,event association
,,,event association
,,,event association
